file	line	count	function
include/rift/discrete_state.hpp	3153	0	auto rift::SpaceRegistry<3>::assemble_draft(rift::SpaceSpecification, rift::SpaceProvenance, std::map<unsigned int, std::shared_ptr<rift::PhaseSupport const>, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, std::shared_ptr<rift::PhaseSupport const>>>> const&) const::'lambda'(auto const&, auto const&)::operator()<rift::PhaseFieldGroupSpecification, rift::PhaseFieldGroupSpecification>(auto const&, auto const&) const
include/rift/discrete_state.hpp	3175	0	rift::SpaceRegistry<3>::begin_draft(rift::PhaseGraph const&, rift::SpaceSpecification, std::vector<rift::PhaseSupportSpecification, std::allocator<rift::PhaseSupportSpecification>>) const
include/rift/discrete_state.hpp	3186	0	rift::SpaceRegistry<3>::begin_draft_with_reserved(rift::PhaseGraph const&, rift::SpaceSpecification, std::vector<rift::PhaseSupportSpecification, std::allocator<rift::PhaseSupportSpecification>>, std::expected<rift::StrongId<rift::detail::SpaceEpochTag, unsigned long>, rift::SpaceBuildError>, std::optional<unsigned int>, void (*)()) const
include/rift/discrete_state.hpp	3197	0	rift::SpaceRegistry<3>::begin_draft_with_reserved(rift::PhaseGraph const&, rift::SpaceSpecification, std::vector<rift::PhaseSupportSpecification, std::allocator<rift::PhaseSupportSpecification>>, std::expected<rift::StrongId<rift::detail::SpaceEpochTag, unsigned long>, rift::SpaceBuildError>, std::optional<unsigned int>, void (*)()) const::'lambda'()::operator()() const
include/rift/discrete_state.hpp	3243	0	rift::SpaceRegistry<3>::finalize(rift::SpaceDraft<3>&, std::vector<rift::RegionalEntrySpecification, std::allocator<rift::RegionalEntrySpecification>>) const
include/rift/discrete_state.hpp	3251	0	rift::SpaceRegistry<3>::finalize_with_hook(rift::SpaceDraft<3>&, std::vector<rift::RegionalEntrySpecification, std::allocator<rift::RegionalEntrySpecification>>, void (*)()) const
include/rift/discrete_state.hpp	3258	0	rift::SpaceRegistry<3>::finalize_with_hook(rift::SpaceDraft<3>&, std::vector<rift::RegionalEntrySpecification, std::allocator<rift::RegionalEntrySpecification>>, void (*)()) const::'lambda'()::operator()() const
include/rift/discrete_state.hpp	3275	0	auto rift::SpaceRegistry<2>::finalize_with_hook(rift::SpaceDraft<2>&, std::vector<rift::RegionalEntrySpecification, std::allocator<rift::RegionalEntrySpecification>>, void (*)()) const::'lambda'()::operator()() const::'lambda'(auto const&, auto const&)::operator()<rift::RegionalEntrySpecification, rift::RegionalEntrySpecification>(auto const&, auto const&) const
include/rift/discrete_state.hpp	3275	0	auto rift::SpaceRegistry<3>::finalize_with_hook(rift::SpaceDraft<3>&, std::vector<rift::RegionalEntrySpecification, std::allocator<rift::RegionalEntrySpecification>>, void (*)()) const::'lambda'()::operator()() const::'lambda'(auto const&, auto const&)::operator()<rift::RegionalEntrySpecification, rift::RegionalEntrySpecification>(auto const&, auto const&) const
include/rift/mesh_snapshot.hpp	116	0	rift::MeshSnapshotError::MeshSnapshotError(rift::MeshSnapshotError const&)
